trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
135,False,"{'a': 0.85, 'e': 0.1319638224186565}",25,11,-19.630795321544003,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.85, 'e': 0.12998436508237665}",20,0,14.562456024098084,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
137,False,"{'a': 0.85, 'e': 0.12803459960614103}",20,0,-4.181603104734409,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
138,False,"{'a': 0.85, 'e': 0.1261140806120489}",35,10,21.560031007438734,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.85, 'e': 0.12422236940286815}",20,8,-20.205117413090033,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
140,False,"{'a': 0.85, 'e': 0.12235903386182513}",30,11,19.039875581313613,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.85, 'e': 0.12052364835389776}",20,3,21.134996631786326,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
142,False,"{'a': 0.85, 'e': 0.11871579362858929}",20,0,31.17456192286632,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
143,False,"{'a': 0.85, 'e': 0.11693505672416045}",30,15,21.192964871649632,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.85, 'e': 0.11518103087329803}",25,10,19.666483501064263,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'a': 0.85, 'e': 0.11345331541019857}",20,16,7.257596984845452,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.85, 'e': 0.1117515156790456}",20,9,-2.9882221114910394,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
147,False,"{'a': 0.85, 'e': 0.1100752429438599}",20,14,11.552813968575364,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.85, 'e': 0.108424114299702}",25,3,27.714521547868426,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.85, 'e': 0.10679775258520648}",20,3,25.033419195290207,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.85, 'e': 0.10519578629642837}",20,0,31.299498009208815,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
